Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,KICHTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount
ARHGEF7,1,,,,,,,,,,,,,,,,,,1,,,,
RAPGEF2,4,,,,,,,,,,,,,,,,,,4,,,,
GPANK1,1,,,,,,,,,,,,,,,,,,,1,,,
SH2D1A,1,,,,,,,,,,,,,,,,,,,,,1,
FARP1,1,1,,,,,,,,,,,,,,,,,,,,,
SSBP4,1,,1,,,,,,,,,,,,,,,,,,,,
CBLB,3,,,,,,2,,,,1,,,,,,,,,,,,
DUSP10,5,,,,,,4,,,,,,,,,,,,,1,,,
SORBS2,3,,,,,,,,,,,,,,,,,1,2,,,,
NMI,1,,,,,,,,,,,,,,,,,1,,,,,
SLC30A10,1,,,,,,,,,,,,,,,,,,,1,,,
RBMX,1,,,,,,,,,,,,,,,,,,,,,1,
IMPA2,1,1,,,,,,,,,,,,,,,,,,,,,
NUSAP1,3,,,,,,,,,,3,,,,,,,,,,,,
ARHGAP35,2,,,,,,,,,,,,,,,,,,2,,,,
MSH2,2,,,,,,,,,,,,,,,,,,,,,2,
ATP2B2,1,,1,,,,,,,,,,,,,,,,,,,,
TCF4,5,,2,,,,,,,,3,,,,,,,,,,,,
PPP1R3C,4,,,,,,,,,,3,,,,,,,,,,,1,
SLC1A5,2,,1,,,,1,,,,,,,,,,,,,,,,
SPTBN1,3,,1,,,,,,,,1,,,,,,,,1,,,,
TLR6,10,,,,,,,,,,8,,,,,,,,,,,2,
SMARCAD1,1,,,,,,,,,,1,,,,,,,,,,,,
EML1,10,,,,,,,,,,,,,,,,,10,,,,,
EPRS1,15,,,,,,,,,,,,,,,,,,15,,,,
ASTN2,2,,,,,,,,,,,,,,,,,,2,,,,
TNFSF10,6,,2,,,,,,,,1,,,,,,,,,3,,,
TGFB1,11,,,,,,1,,,,10,,,,,,,,,,,,
CDKN2C,2,,,,,,,,,,2,,,,,,,,,,,,
ITGA1,7,,,,,,,,,,6,,,,,,,,,1,,,
ASAP2,4,,,,,,,,,,1,,,,,,,,3,,,,
ATXN10,1,,,,,,,,,,1,,,,,,,,,,,,
ADRA2B,1,,,,,,,,,,,,,,,,,1,,,,,
PDXK,2,,,,,,,,,,,,,,,,,2,,,,,
HMOX2,1,,,,,,,,,,,,,,,,,,1,,,,
LDLR,1,,,,,,,,,,,,,,,,,,1,,,,
UACA,1,,,,,,,,,,,,,,,,,,1,,,,
PTK2B,1,,,,,,,,,,,,,,,,,,,1,,,
STAT1,22,2,,,,,,,,,1,,,,,,,18,1,,,,
ADD3,1,,1,,,,,,,,,,,,,,,,,,,,
ASAP1,13,,,,1,,1,,,,6,,,,,,,,5,,,,
HAUS7,2,,,,,,,,,,2,,,,,,,,,,,,
MROH1,1,,,,,,,,,,1,,,,,,,,,,,,
CDH13,3,,,,,,,,,,,,,,,,,,3,,,,
ETS2,4,2,,,,,,,,,,,1,,,,,,1,,,,
JMJD1C,8,5,,,,,,,,,,,,,,,,,3,,,,
CTNNB1,1,,1,,,,,,,,,,,,,,,,,,,,
GULP1,3,,1,,,,,,,,,,,,,,,,,,,2,
TYMS,1,,,,,,,,,,,,,,,,,,,,1,,
OSBPL3,1,1,,,,,,,,,,,,,,,,,,,,,
MEIS2,1,,,,,,,,,,1,,,,,,,,,,,,
MYBL2,5,,,,,,,,,,5,,,,,,,,,,,,
RPL22,1,,,,,,,,,,1,,,,,,,,,,,,
SLC16A4,9,,,,,,,,,,9,,,,,,,,,,,,
DOCK4,11,,,,,,,,,,,,,,,,,3,,8,,,
IL15,2,,,,,,,,,,,,,,,,,,,2,,,
ITGA5,4,,,,,,,,,,4,,,,,,,,,,,,
LPP,8,,,,,,,,,,8,,,,,,,,,,,,
CDKN2A,1,,,,,,,,,,,,1,,,,,,,,,,
PDGFB,1,,,,,,,,,,,,,,,,,1,,,,,
GMDS,5,,,,,,,,,,,,,,,,,,1,,,4,
BEST1,1,,,,,,,,,,,,,,,,,,1,,,,
DLGAP1,6,,,,,,,,,,,,,,,,,,2,,,4,
ZFP36L2,4,3,,,,,1,,,,,,,,,,,,,,,,
DAAM1,10,5,,,,,,,1,,,,2,,,,,,2,,,,
MKI67,4,,,,,,,,,,3,,,,,,,,,,,1,
CSF3R,3,,,,,,,,,,,,,1,,,,,1,1,,,
JCAD,6,,,,,,,,,,,,,,,,,6,,,,,
ARNT2,4,,,,,,,,,,,,,,,,,,4,,,,
EPHX1,3,,,,,,,,,,,,,,,,,,,3,,,
NR3C2,5,1,,,,,,,,,,,,,,,,,4,,,,
KPNA6,1,1,,,,,,,,,,,,,,,,,,,,,
NTRK1,11,,,,,,,,,,10,,,,,,,,,,,1,
IL6ST,3,,,,,,,,,,,,,,,,,3,,,,,
CD6,1,,,,,,,,,,,,,,,,,,1,,,,
SELL,1,,,,,,,,,,,,,,,,,,1,,,,
KDM4D,1,,,,,,,,,,,,,,,,,,,1,,,
U2SURP,1,1,,,,,,,,,,,,,,,,,,,,,
TNFRSF8,13,,,,,,,,,,13,,,,,,,,,,,,
SLC25A3,2,,,,,,,,,,2,,,,,,,,,,,,
CIRBP,7,,,,,,,,,,,,,,,,,,,,,7,
RB1,2,1,,,,,,,,,1,,,,,,,,,,,,
ARHGEF3,7,6,,,1,,,,,,,,,,,,,,,,,,
DENND2B,2,,1,,,,,,,,,,,,,,,,1,,,,
DUSP1,2,,,,,,,,,,2,,,,,,,,,,,,
ITGA4,11,,,,,,,,,,4,,,,,,,5,1,,,1,
LIMCH1,4,,,,,,,,,,,,,,,,,3,1,,,,
TNS3,2,,,,,,,,,,,,,,,,,,,,,2,
HIF1A,15,3,,,,,1,,,,8,,,1,,,,2,,,,,
TNFAIP3,11,,,,,,1,,,,,,,,,,,1,,9,,,
BIRC5,48,,,,,,,,,,47,1,,,,,,,,,,,
RUNX1T1,5,,,,,,,,,,,,,,,,,4,,,,1,
KIF13A,6,,,,,,,,,,,,,,,,,4,1,1,,,
ATP1B1,9,,,,,,,,,,,,,,,,,,9,,,,
ZFPM2,5,1,1,,,,,,,,2,,,,,,,1,,,,,
MCM5,2,,,,,,1,,,,,,,,,,,,1,,,,
TNFRSF10C,3,,,,,,,,,,3,,,,,,,,,,,,
CCND3,4,,,,,,,,,,,,,,,,,,4,,,,
PCGF5,7,,,,,,,,,,,,,,,,,,7,,,,
TACC1,2,,,,,,,,,,,,,,,,,,,1,,1,
ATAD2B,1,1,,,,,,,,,,,,,,,,,,,,,
HLA-G,45,,,,,,,,,,44,,,,,,,,,1,,,
NTN3,7,,,,,,,,,,7,,,,,,,,,,,,
SLC44A4,1,,,,,,,,,,1,,,,,,,,,,,,
NBAS,1,,,,,,,,,,,,,,,,,,1,,,,
CSNK2A2,1,,,,,,,,,,,,,,,,,,,,,1,
CETP,5,,,,,,5,,,,,,,,,,,,,,,,
CCNK,3,,,,,,,,,,3,,,,,,,,,,,,
DAPK2,1,,,,,,,,,,,,,,,,1,,,,,,
TNXB,1,,,,,,,,,,,,,,,,,,,1,,,
MYC,4,,1,,,,,,,,1,,,,,,,,1,1,,,
RFTN1,3,,1,,,,2,,,,,,,,,,,,,,,,
CFLAR,4,,,,1,,,,,,1,,,,,,1,1,,,,,
CRTC1,1,,,,,,,,,,1,,,,,,,,,,,,
ABCC3,3,,,,,,,,,,,,,,1,,1,,1,,,,
AFP,1,,,,,,,,,,,,,,,,,1,,,,,
CORO2B,27,,,,,,,,,,,,,,,,,,,,,27,
AP3B1,6,,,,,,,,,,,,,,,,,6,,,,,
FANCC,1,,,,,,,,,,,,,,,,,,,,,1,
C3AR1,1,,1,,,,,,,,,,,,,,,,,,,,
MED13L,2,,2,,,,,,,,,,,,,,,,,,,,
ITGAV,1,,,,,,,,,,1,,,,,,,,,,,,
SART3,1,,,,,,,,,,1,,,,,,,,,,,,
TRAP1,2,,,,,,,,,,2,,,,,,,,,,,,
SIPA1L1,4,,,,,,,,,,,,,,,,,,4,,,,
CD63,1,,,,,,,,,,,,,,,,,,,1,,,
CTSB,3,,,,,,1,,,,,,1,,,,,,1,,,,
NT5E,5,,,,,,,,,,1,,,,,,,,,,,4,
CD163,5,,,,,,,,,,5,,,,,,,,,,,,
NOL7,2,,,,,,,,,,2,,,,,,,,,,,,
ASH2L,1,,,,,,,,,,,,,,,,,1,,,,,
DAB2IP,3,,,,,,,,,,,,,,,,,,,3,,,
BAX,3,,,,,,1,,,,,,,,,,,,,,,2,
MED13,2,,,,,,,,,,2,,,,,,,,,,,,
OTUD3,1,,,,,,,,,,1,,,,,,,,,,,,
TSC22D3,2,,,,,,,,,,,1,,1,,,,,,,,,
CACNA2D1,1,,,,,,,,,,,,,,,,,1,,,,,
LARP1,1,,,,,,,,,,,,,,,,,1,,,,,
NUB1,1,,,,,,,,,,,,,,,,,1,,,,,
ADGRE5,1,,,,,,,,,,,,,,,,,,1,,,,
DENND3,1,,,,,,,,,,,,,,,,,,1,,,,
UCP2,16,,,,,,,,,,,,,,,,,,,,,16,
OXTR,1,,,,,,,,,1,,,,,,,,,,,,,
RNASE4,3,,,,,,,,,,1,,,,,,,2,,,,,
DGKB,1,,,,,,,,,,,,,,,,,1,,,,,
NAALADL2,9,,,,,,,,,,,,,,,,,,9,,,,
AMH,6,,,,,,,,,,,,,,,,,,,6,,,
ZFP36L1,7,,,,,,,,,,1,,,,,,,,6,,,,
ETV4,2,,,,,,,,,,2,,,,,,,,,,,,
CEP43,1,,,,,,,,,,1,,,,,,,,,,,,
TBC1D14,4,,,,,,,,,,4,,,,,,,,,,,,
HLA-A,1,,,,,,,,,,,,,,,,,1,,,,,
FAM20B,1,,,,,,,,,,,,,,,,,1,,,,,
RPS6KA3,2,,,,,,,,,,,,,,,,,,,2,,,
LCK,1,,,,,,,,,,,,,,,,,,,,,,1
SULT1C4,4,3,,,,,,,,,1,,,,,,,,,,,,
RALGDS,1,1,,,,,,,,,,,,,,,,,,,,,
KRT19,2,,1,,,,,,,,,,,,,,,,1,,,,
PCK1,2,,2,,,,,,,,,,,,,,,,,,,,
GFPT1,11,,,,,,,,,,11,,,,,,,,,,,,
ITGAX,7,,,,,,,,,,7,,,,,,,,,,,,
SCAP,1,,,,,,,,,,,,,,,,,1,,,,,
SREBF1,5,2,2,,,,,,,,,,,,,,,,1,,,,
CCR4,1,,1,,,,,,,,,,,,,,,,,,,,
RHOBTB3,4,,3,,,,,,,,1,,,,,,,,,,,,
UBE2V1,1,,,,,,,,,1,,,,,,,,,,,,,
CAT,7,1,,,,,,,,,4,,,,,,,,,1,1,,
ZFP36,16,1,,,,,,,,,,1,,,,,,3,,11,,,
RELB,1,,,,,,,,,,,,,,,,,,,1,,,
SNX25,2,1,,,,,,,,,,,,,,,,,1,,,,
RMI1,5,,1,,,,,,,,,,,,,,,,,,,4,
FOXD1,1,,,,,,1,,,,,,,,,,,,,,,,
TUBB3,5,,,,,,1,,,,4,,,,,,,,,,,,
UHRF1,3,,,,,,1,,,,1,,,,,,,1,,,,,
SCAF11,2,,,,,,,,,,2,,,,,,,,,,,,
NSD2,1,,,,,,,,,,,,,,,,,1,,,,,
ARHGAP10,2,,,,,,,,,,,,,,,,,,,2,,,
PTPRC,20,,,,,,,,,,,,,,,,,,,,,20,
XXYLT1,1,1,,,,,,,,,,,,,,,,,,,,,
FMN1,1,,,,,,,,,1,,,,,,,,,,,,,
HIC1,5,,,,,,,,,,5,,,,,,,,,,,,
LMX1B,2,,,,,,,,,,2,,,,,,,,,,,,
PRPF8,1,,,,,,,,,,1,,,,,,,,,,,,
CC2D2A,1,,,,,,,,,,,,,,,,1,,,,,,
RGS6,4,,,,,,,,,,,,,,,,,,2,,,2,
SELE,2,,,,,,,,,,,,,,,,,,,2,,,
PIN1,1,,,,,,,,,,,,,,,,,,,,,1,
MGAT5,2,1,,,,,,,,,1,,,,,,,,,,,,
RIPOR1,1,,,,1,,,,,,,,,,,,,,,,,,
UBR3,1,,,,,,,,,,,,,,,,,,1,,,,
F3,1,,,,,,,,,,,,,,,,,,,,1,,
CHUK,6,1,,,,,,,,,5,,,,,,,,,,,,
PPL,1,1,,,,,,,,,,,,,,,,,,,,,
HLA-DOB,3,,,,1,,,,,,2,,,,,,,,,,,,
CKS2,3,,,,,,,,,,3,,,,,,,,,,,,
CP,2,,,,,,,,,,2,,,,,,,,,,,,
HES1,1,,,,,,,,,,1,,,,,,,,,,,,
FGL2,24,,,,,,,,,,24,,,,,,,,,,,,
ANGPT2,27,1,2,,,,1,,,,22,,,1,,,,,,,,,
FECH,2,1,,,,,,,,1,,,,,,,,,,,,,
GRAP2,3,,,,1,,1,,,,,,,,,,,,1,,,,
MGLL,1,,,,,,1,,,,,,,,,,,,,,,,
BAK1,3,,,,,,,,,,3,,,,,,,,,,,,
TECR,3,,,,,,,,,,1,,,,,,,,1,1,,,
ZNF615,1,,,,,,,,,,1,,,,,,,,,,,,
NNMT,12,,,,,,,,,,,,1,,,,,9,2,,,,
KLF16,1,,,,,,,,,,,,,,,,,1,,,,,
SRCIN1,8,,,,,,,,,,,,,,,,,,,8,,,
SNRPD3,1,,,,,,,,,,1,,,,,,,,,,,,
USP6NL,19,,,,,,,,,,19,,,,,,,,,,,,
ZNF367,3,,,,,,,,,,3,,,,,,,,,,,,
SMCHD1,4,,,,,,,,,,,,,,,,,,4,,,,
AQP2,1,,,,,,,,,,,,,,,,,,,1,,,
ARID1A,2,,,,,,,,,,,,,,,,,,,2,,,
EDN1,1,,,,,,,,,,,,,,,,,,,,,1,
MCM8,2,,,,,,,,,,2,,,,,,,,,,,,
CHN2,3,,,,,,,,,,,,2,,,,,,1,,,,
EGLN3,3,,,,,,,,,,,,,,,,,3,,,,,
IFIT3,4,,,,,,,,,,,,,,,,,,,4,,,
CD14,6,,,,,,,,,,6,,,,,,,,,,,,
QTRT2,1,,,,,,,,,,1,,,,,,,,,,,,
MYH9,3,,,,,,,,,,,,,1,,,,2,,,,,
MYO9B,2,,,,,,,,,,,,,2,,,,,,,,,
CD83,1,,,,,,,,,,,,,1,,,,,,,,,
GALK2,1,,,,,,,,,,,,,,,,,1,,,,,
AKR1B1,1,,,,,,,,,,,,,,,,,,1,,,,
IL12B,2,,,,,,,,,,,,,,,,,,2,,,,
XPA,1,,,,,,,,,,,,,,,,,,,,,1,
KLF4,1,1,,,,,,,,,,,,,,,,,,,,,
E2F3,2,,,,,,,,,,1,,1,,,,,,,,,,
ITGB2,5,,,,,,,,,,5,,,,,,,,,,,,
MMP9,2,,,,,,,,,,1,,,1,,,,,,,,,
NRP1,2,,,,,,,,,,2,,,,,,,,,,,,
CASP8AP2,2,,,,,,,,,,2,,,,,,,,,,,,
CHRNB4,4,3,,,,,1,,,,,,,,,,,,,,,,
CYTH1,2,,,,1,,,,,,,,,,,,,,,,,1,
CCL11,2,,,,,,,,,,,,,,,,,,,2,,,
PEAK1,1,1,,,,,,,,,,,,,,,,,,,,,
CXCL8,1,1,,,,,,,,,,,,,,,,,,,,,
XYLT1,3,1,,,,,,,,,,,,,,,,2,,,,,
JUN,28,1,1,,,,,,,,1,,,,,,,,25,,,,
DIP2B,8,1,,,,,,,,,3,,,,,,,4,,,,,
CGGBP1,4,,,,,,1,,,,,,,,,,,,3,,,,
PTTG1IP,1,,,,,,,,,,1,,,,,,,,,,,,
CCN2,11,,,,,,,,,,6,,,,,,,,,,,5,
ASCC3,1,,,,,,,,,,1,,,,,,,,,,,,
NKX3-2,7,,,,,,,,,,6,,,,,,,,,,,1,
HIP1,1,,,,,,,,,,1,,,,,,,,,,,,
FOXK1,6,,,,,,,,,,4,,,,,,,,2,,,,
IGFBP3,1,,,,,,,,,,,,,,1,,,,,,,,
NPAS1,2,,,,,,,,,,,,,,,,,2,,,,,
NDUFAF6,2,,,,,,,,,,,,,,,,,2,,,,,
AGPS,1,,,,,,,,,,,,,,,,,,1,,,,
ASS1,1,,,,,,,,,,,,,,,,,,,1,,,
MATN2,2,1,,,,,,,,,,,,,,,,1,,,,,
POFUT1,1,,1,,,,,,,,,,,,,,,,,,,,
CISH,3,,,,,,1,,,,2,,,,,,,,,,,,
CCT5,1,,,,,,,,,,1,,,,,,,,,,,,
IGF1,2,,,,,,,,,,,,1,,,,,,,,1,,
CXCL3,7,,,,,,,,,,7,,,,,,,,,,,,
VIM,8,,,,,,,,,,4,,,,,,,,2,2,,,
WT1,1,,,,,,,,,,,,,,,,,,,1,,,
GP5,1,,,,,,,,,,,,,,,,,,,,,1,
SPAG9,2,1,,,,,,,,,,,,,,,,,1,,,,
BIRC3,15,1,,,,,1,,,,,,,,,,,12,,1,,,
CD44,4,,,,,,,,,,4,,,,,,,,,,,,
SCNN1A,4,,,,,,,,,,1,,,,,,,3,,,,,
NOL4L,5,,,,,,,,,,3,,,,,,,2,,,,,
TTI1,1,,,,,,,,,,,,,,,,,1,,,,,
PHPT1,8,,,,,,,,,,,,,,,,,,7,1,,,
FMNL2,2,,,,,,,,,,,,,,,,,,2,,,,
STXBP2,1,,,,,,,,,,,,,,,,,,,,,1,
CTNNA1,3,3,,,,,,,,,,,,,,,,,,,,,
FOSL1,29,1,,,,,,,,,19,,,,,,,,,,,9,
EHBP1,4,2,,,,,1,,,,,,,,,,,,1,,,,
CLN6,2,,2,,,,,,,,,,,,,,,,,,,,
MYEOV,2,,,,,,,,,,1,,,,,,,,1,,,,
POLE3,3,,,,,,,,,,3,,,,,,,,,,,,
PGF,10,,,,,,,,,,,,,,,,,10,,,,,
STARD4,1,,,,,,,,,,,,,,,,,1,,,,,
RBPJ,1,,,,,,,,,,,,,,,,,,1,,,,
MAX,2,,,,,,,,,,,,,,,,,,,2,,,
PELP1,1,,1,,,,,,,,,,,,,,,,,,,,
DEK,5,,,,,,,,,,1,,,,,,,4,,,,,
METTL8,1,,,,,,,,,,,,,,,,,1,,,,,
TRAF2,1,,1,,,,,,,,,,,,,,,,,,,,
TBC1D5,12,,,,,,,,,,2,,,,,,,,10,,,,
KIAA1586,7,,,,,,,,,,7,,,,,,,,,,,,
BAIAP3,3,,,,,,,,,,,,,,,,,3,,,,,
TAP2,2,,,,,,,,,,,,,,,,,,,2,,,
CTSF,1,,,,,,,,,,,,,,,,,,,1,,,
MAP4,1,,,,1,,,,,,,,,,,,,,,,,,
MYBL1,9,,,,,,,,,,8,,,,,,,,,,1,,
TAF2,1,,,,,,,,,,1,,,,,,,,,,,,
ZNF175,1,,,,,,,,,,1,,,,,,,,,,,,
PIK3CA,15,,,,,,,,,,,,,,,,,,1,14,,,
TGIF1,8,,,,,,,,,,,,,,,,,,8,,,,
NME7,1,,,,,,,,,,,,,,,,,,1,,,,
POU2F1,1,,,,,,,,,,,,,,,,,,,1,,,
ANGPT1,6,,,,,,,,,,,,,,,,,,,,,6,
CCNB2,1,1,,,,,,,,,,,,,,,,,,,,,
PLAUR,26,,,1,,,,,,,19,,,,,,,,,1,,5,
PLEC,7,,,,,,,,,,,,,,,,,1,5,1,,,
TIAM1,1,,,,,,,,,,,,,,,,,,1,,,,
RRM1,4,1,,,,,,,,,2,,,,,,,,,,,1,
NUMB,2,2,,,,,,,,,,,,,,,,,,,,,
ACTA1,6,2,1,,,,,,,,,,,,,,,1,2,,,,
HK1,2,,,,1,,1,,,,,,,,,,,,,,,,
CCNA2,8,,,,,,,,,,8,,,,,,,,,,,,
CREM,2,,,,,,,,,,2,,,,,,,,,,,,
TNPO1,3,,,,,,,,,,3,,,,,,,,,,,,
E2F7,2,,,,,,,,,,2,,,,,,,,,,,,
NABP1,2,,,,,,,,,,,,,,1,,,,,1,,,
RAPGEF4,1,,,,,,,,,,,,,,,,,1,,,,,
TNRC6B,3,,,,,,,,,,,,,,,,,2,,,,1,
CA9,3,3,,,,,,,,,,,,,,,,,,,,,
ARHGAP24,17,1,,,,,,,,,,,,,,,,,16,,,,
ADGRF3,3,2,,,,,,,,,,,,,,,,,1,,,,
PTN,1,,,,,,1,,,,,,,,,,,,,,,,
P3H4,2,,,,,,2,,,,,,,,,,,,,,,,
WNT5B,3,,,,,,2,,,,,,,,,,,,1,,,,
CEMIP2,1,,,,,,,,,,,,,,1,,,,,,,,
HSF1,1,,,,,,,,,,,,,,,,,,,1,,,
ABCA1,3,,,,,,,,,,,,,,,,,,,,,3,
CEP112,3,,2,,,,,,,,,,,,,,,1,,,,,
KDR,9,,,,,,,,,,8,,,,,,,,1,,,,
NTHL1,1,,,,,,,,,,1,,,,,,,,,,,,
TP63,3,,,,,,,,,,3,,,,,,,,,,,,
BAZ2A,1,,,,,,,,,,,,,,,1,,,,,,,
AMPD3,1,,,,,,,,,,,,,,,,,,,,1,,
FGF18,1,,,,,,,,,,,,,,,,,,,,,1,
ARHGEF12,10,1,,,,,,,,,,,,,,,,,9,,,,
HINT1,3,3,,,,,,,,,,,,,,,,,,,,,
CYP1A1,18,1,,,,,,,,,,,,,,,,,,17,,,
STAR,8,,,,1,,,,,,,,,,,,,,6,,1,,
PTPA,4,,,,,,,,,,4,,,,,,,,,,,,
AQR,18,,,,,,,,,,18,,,,,,,,,,,,
MXI1,1,,,,,,,,,,,,,,,,,,,1,,,
NAV1,1,1,,,,,,,,,,,,,,,,,,,,,
CYP17A1,1,1,,,,,,,,,,,,,,,,,,,,,
EPOR,3,,,,,,1,,,,,,,,,,,,,,2,,
OXR1,1,,,,,,1,,,,,,,,,,,,,,,,
CCNG2,4,,,,,,,,,,1,,,,,,,2,1,,,,
CYP3A4,5,,,,,,,,,,5,,,,,,,,,,,,
DDB2,3,,,,,,,,,,3,,,,,,,,,,,,
ADGRV1,1,,,,,,,,,,,,,,,,,,,1,,,
DKK1,1,,,,,,,,,,,,,,,,,,,,1,,
HNRNPA1,1,,,,,,,,,,,,,,,,,,,,,1,
THRA,3,1,,,,,,,,,,,,,,,,,2,,,,
APBB2,3,,,,,,,,,,,1,,,,,,,2,,,,
KLHL21,2,,,,,,,,,,,,,,,,,2,,,,,
FCHSD2,2,1,,,,,,,,,,,,,,,,,1,,,,
CAB39,11,1,,,,,1,,,,,,,,,,,5,2,,,2,
RPS6,1,,1,,,,,,,,,,,,,,,,,,,,
FAT1,9,,,,,,,,,,8,,,,,,,,,1,,,
PPFIA1,1,,,,,,,,,,,,,,,,,1,,,,,
NOX5,1,,,,,,,,,,,,,,,,,,1,,,,
E2F8,1,,,,,,,,,,,,,,,,,,1,,,,
KRT8,2,1,,,,,,,,,,,,,,,,1,,,,,
MIP,5,4,,,,,,,,,,,,,,,,,1,,,,
IRF1,1,1,,,,,,,,,,,,,,,,,,,,,
PSMD8,2,1,,,,,,,,,,,,,,,,1,,,,,
SRBD1,1,,,,,,1,,,,,,,,,,,,,,,,
F2R,5,,,,,,,,,,5,,,,,,,,,,,,
MFAP1,12,,,,,,,,,,12,,,,,,,,,,,,
TNF,5,,,,,,,,,,1,,1,1,,,,,1,,,1,
TOP2A,3,,,,,,,,,,3,,,,,,,,,,,,
AIMP2,1,,,,,,,,,,1,,,,,,,,,,,,
RBMS3,1,,,,,,,,,,1,,,,,,,,,,,,
BDNF,1,,,,,,,,,,,,,,,,,,1,,,,
RIMS2,1,,,,,,,,,,,,,,,,,,,1,,,
MCM3,1,,,,,,,,,,,,,,,,,,,,,1,
STC2,5,,,,,,,,,,,,,,,,,,,,,5,
ZFAND3,1,,1,,,,,,,,,,,,,,,,,,,,
ALOX5,1,,,,,,1,,,,,,,,,,,,,,,,
AZIN1,1,,,,,,,,,,,,,,,,,,1,,,,
ZNF407,6,,,,,,,,,,,,,,,,,,6,,,,
TGFA,2,,,,,,,,,,,,,,,,,,,2,,,
TCF7,2,1,,,,,,,,,,,,,,,1,,,,,,
BCL2L11,1,,1,,,,,,,,,,,,,,,,,,,,
HNRNPF,7,,,,,,,,,,7,,,,,,,,,,,,
TP53I3,3,,,,,,,,,,3,,,,,,,,,,,,
RAB3GAP1,1,,,,,,,,,,,,,,,,,1,,,,,
NCALD,1,,,,,,,,,,,,,,,,,1,,,,,
TIMP2,2,,1,,,,,,,,1,,,,,,,,,,,,
PARPBP,1,,,,,,,,,,,,,,,1,,,,,,,
CRB1,1,,,,,,,,,,,,,,,,,,,1,,,
SRC,2,2,,,,,,,,,,,,,,,,,,,,,
CLIP2,3,,,,,,,,,,3,,,,,,,,,,,,
ADORA1,2,,,,,,,,,,,,,,,,,2,,,,,
UVRAG,18,,,,,,,,,,,,,,,,,6,12,,,,
PXN,2,,,,,,,,,,,,,,,,,,,2,,,
EXOC6B,1,,,,,,,,,,,,,,,,,,,1,,,
TF,11,,,,,,,,,,,,,,,,,,,,,11,
CDCA7,1,,,,,,,,,,,,,,,,,,,,,1,
MUC2,18,14,,,,,2,,,,,,,,2,,,,,,,,
FAM110C,1,,1,,,,,,,,,,,,,,,,,,,,
DVL1,5,,,,,,,,,,5,,,,,,,,,,,,
IFNAR1,4,,,,,,,,,,1,,,,,,,3,,,,,
TLR2,12,,,,,,,,,,12,,,,,,,,,,,,
ZZZ3,1,,,,,,,,,,,,,,,,1,,,,,,
ARHGAP42,8,,,,,,,,,,,,,,,,,5,3,,,,
RPS24,1,,1,,,,,,,,,,,,,,,,,,,,
GOLIM4,3,,1,,,,,,,,,,,,,,,2,,,,,
AR,16,,,,,,,,,,4,,,,,,,,,12,,,
MTHFD1,9,,,,,,,,,,8,,,,,,,,,1,,,
SPAG17,1,,,,,,,,,,,,,,,,,,,1,,,
BANF1,1,,,,,,,,,,,,,,,,,,,,,1,
PICALM,13,5,,,,,,,,,,,,,,,,,7,,,1,
CYP3A5,11,1,,,,,,,,,9,,,,,,,1,,,,,
CYP7B1,1,,,,,,,,,,1,,,,,,,,,,,,
RBPMS,1,,,,,,,,,,,,1,,,,,,,,,,
RABGAP1L,5,,,,,,,,,,,,,,,,,5,,,,,
JUP,3,,,,,,,,,1,,,,,2,,,,,,,,
IL10,27,,,,,,,,,,26,1,,,,,,,,,,,
RPS20,1,,,,,,,,,,1,,,,,,,,,,,,
MGA,2,,,,,,,,,,2,,,,,,,,,,,,
BCAS3,8,,,,,,,,,,,,,,,,,1,6,1,,,
NR4A2,1,,,,,,,,,,,,,,,,,,,1,,,
OAS3,2,,,,,,,,,,,,,,,,,,,2,,,
RAD18,1,,,,,,,,,,,,,,,,,,,1,,,
RTN4,12,,1,,1,,,,,,,,,,,,,9,1,,,,
PURB,1,,,,,,,,,,1,,,,,,,,,,,,
SPI1,5,,,,,,,,,,5,,,,,,,,,,,,
APLN,1,,,,,,,,,,1,,,,,,,,,,,,
FMN2,1,,,,,,,,,,1,,,,,,,,,,,,
ACTG1,1,,,,,,,,,,,,1,,,,,,,,,,
RUNX1,5,,,,,,,,,,,,,,2,,,,2,1,,,
AKR1C3,2,,,,,,,,,,,,,,,,,2,,,,,
ITGB7,2,1,,,,,,,,,,,,,,,,,,1,,,
HRAS,5,,,,,,,,,,5,,,,,,,,,,,,
ZFHX4,2,,,,,,,,,,2,,,,,,,,,,,,
S100Z,4,,,,,,,,,,4,,,,,,,,,,,,
WWTR1,6,,,,,,,,,,,,,,,,,6,,,,,
SORCS2,2,,,,,,,,,,,,,,,,,,2,,,,
HERPUD1,2,,,,,,,,,,,,,,,,,,,2,,,
STK10,9,,,,,,,,,,8,,,,,,,,1,,,,
FLI1,1,1,,,,,,,,,,,,,,,,,,,,,
DHFR,9,,,,,,,,,,9,,,,,,,,,,,,
SIVA1,2,,,,,,,,,,2,,,,,,,,,,,,
NSMCE2,3,,,,,,,,,,2,,,,,,,,,1,,,
PARP14,1,,,,,,,,,,,,,,,,,1,,,,,
